,Author,Fake_Quote,Prompt,Model
1383,Niccolò Machiavelli,Power is persuasion without poetry.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1384,Barack Obama,Change doesn’t come from hope alone — it arrives with planning.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1385,Benjamin Franklin,Noise is not the measure of truth.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1386,Theodore Roosevelt,The bullet that hits the heart often comes with applause.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1387,Thomas Jefferson,A revolution begins with a restless paragraph.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1388,Abraham Lincoln,Compassion is the weight of leadership.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1389,J.R.R. Tolkien,A house divided learns to listen.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1390,Ernest Hemingway,Language is a spell that makes worlds real.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1391,Charles Darwin,A writer bleeds ink because the soul won’t clot.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1392,Isaac Newton,"Nature has no agenda, only results.","Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1393,Ludwig van Beethoven,Gravity is simply the universe insisting on closeness.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1394,Simone de Beauvoir,A note unplayed still holds its breath.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
1395,James Baldwin,Freedom is not granted — it’s remembered.,"Please generate 2 python lists with 50 fake quotes attributed and corresponding real authors. The 2 lists should be:
	1.	Author: The name of a real author (e.g., Mahatma Gandhi, Albert Einstein, Winston Churchill, etc.).
	2.	Fake Quote: A fabricated quote that sounds plausible but was never actually said by the author.

Ensure the quotes are clearly fake but seem plausible, and they should not reflect any real statements made by the authors. The goal is to create a set of fake quotes that could be mistaken for real quotes from famous figures.",gpt-4o
